date,state,commodity,price,prediction
2025-10-15,Yobe,Yam,2791.266666666667,2704.4849
2025-11-15,Adamawa,Beans (red),2000.0,1781.121
2025-11-15,Adamawa,Oranges,400.0,558.94824
2025-11-15,Adamawa,Rice (local),1975.0,1981.8024
2025-11-15,Adamawa,Yam,3250.0,2908.593
2025-11-15,Borno,Beans (red),2361.1111111111118,1809.8168
2025-11-15,Borno,Oranges,375.0,453.22913
2025-11-15,Borno,Rice (local),2755.555555555556,2002.8773
2025-11-15,Borno,Tomatoes,289.2857142857143,422.52634
2025-11-15,Borno,Yam,2625.0,2548.0293
2025-11-15,Yobe,Beans (red),1800.0,1653.1602
2025-11-15,Yobe,Oranges,416.6666666666667,486.7497
2025-11-15,Yobe,Rice (local),2325.0,1921.3678
2025-11-15,Yobe,Tomatoes,295.0,479.64752
2025-11-15,Yobe,Yam,2625.0,2547.5105
