date,state,commodity,unit,price
2020-08-15,Borno,Beans (red),2.5 KG,531.8333333333334
2020-08-15,Borno,Oranges,400 G,82.6
2020-08-15,Borno,Rice (local),2.7 KG,1029.31
2020-08-15,Borno,Tomatoes,0.5 KG,68.75
2020-08-15,Borno,Yam,2.5 KG,667.4285714285714
2020-08-15,Yobe,Beans (red),2.5 KG,665.375
2020-08-15,Yobe,Oranges,400 G,77.14285714285714
2020-08-15,Yobe,Rice (local),2.7 KG,1119.197
2020-08-15,Yobe,Tomatoes,0.5 KG,88.57142857142857
2020-08-15,Yobe,Yam,2.5 KG,413.5
2020-09-15,Adamawa,Yam,2.5 KG,1954.6
2020-09-15,Borno,Beans (red),2.5 KG,551.1666666666666
2020-09-15,Borno,Oranges,400 G,100.0
2020-09-15,Borno,Rice (local),2.7 KG,1016.8033333333333
2020-09-15,Borno,Tomatoes,0.5 KG,75.0
2020-09-15,Borno,Yam,2.5 KG,654.3000000000001
2020-09-15,Yobe,Beans (red),2.5 KG,663.0
2020-09-15,Yobe,Oranges,400 G,85.0
2020-09-15,Yobe,Rice (local),2.7 KG,1170.0875
2020-09-15,Yobe,Tomatoes,0.5 KG,66.0
2020-09-15,Yobe,Yam,2.5 KG,418.2125
2020-10-15,Adamawa,Rice (local),2.7 KG,1159.74
2020-10-15,Adamawa,Yam,2.5 KG,2243.16
2020-10-15,Borno,Beans (red),2.5 KG,458.8
2020-10-15,Borno,Oranges,400 G,100.8
2020-10-15,Borno,Rice (local),2.7 KG,829.484
2020-10-15,Borno,Tomatoes,0.5 KG,96.85714285714286
2020-10-15,Borno,Yam,2.5 KG,722.2314285714285
2020-10-15,Yobe,Beans (red),2.5 KG,483.85714285714283
2020-10-15,Yobe,Oranges,400 G,70.0
2020-10-15,Yobe,Rice (local),2.7 KG,716.5
2020-10-15,Yobe,Tomatoes,0.5 KG,54.285714285714285
2020-10-15,Yobe,Yam,2.5 KG,326.0
2020-11-15,Adamawa,Rice (local),2.7 KG,922.27
2020-11-15,Adamawa,Yam,2.5 KG,1930.73
2020-11-15,Borno,Beans (red),2.5 KG,631.1666666666666
2020-11-15,Borno,Oranges,400 G,100.5
2020-11-15,Borno,Rice (local),2.7 KG,999.4833333333332
2020-11-15,Borno,Tomatoes,0.5 KG,65.5
2020-11-15,Borno,Yam,2.5 KG,693.0328571428571
2020-11-15,Yobe,Beans (red),2.5 KG,737.6666666666666
2020-11-15,Yobe,Oranges,400 G,80.0
2020-11-15,Yobe,Rice (local),2.7 KG,867.75
2020-11-15,Yobe,Tomatoes,0.5 KG,52.0
2020-11-15,Yobe,Yam,2.5 KG,432.93111111111114
2020-12-15,Adamawa,Rice (local),2.7 KG,909.0
2020-12-15,Adamawa,Yam,2.5 KG,2205.39
2020-12-15,Borno,Beans (red),2.5 KG,647.875
2020-12-15,Borno,Oranges,400 G,76.25
2020-12-15,Borno,Rice (local),2.7 KG,1004.935
2020-12-15,Borno,Tomatoes,0.5 KG,80.0
2020-12-15,Borno,Yam,2.5 KG,716.0975
2020-12-15,Yobe,Beans (red),2.5 KG,625.0
2020-12-15,Yobe,Oranges,400 G,80.0
2020-12-15,Yobe,Rice (local),2.7 KG,924.75
2020-12-15,Yobe,Tomatoes,0.5 KG,85.0
2020-12-15,Yobe,Yam,2.5 KG,403.5828571428571
2021-01-15,Adamawa,Rice (local),2.7 KG,903.13
2021-01-15,Adamawa,Yam,2.5 KG,2859.16
2021-01-15,Borno,Beans (red),2.5 KG,672.6666666666666
2021-01-15,Borno,Oranges,400 G,95.16666666666667
2021-01-15,Borno,Rice (local),2.7 KG,1043.1157142857141
2021-01-15,Borno,Tomatoes,0.5 KG,83.2
2021-01-15,Borno,Yam,2.5 KG,657.25875
2021-01-15,Yobe,Beans (red),2.5 KG,823.0
2021-01-15,Yobe,Oranges,400 G,104.28571428571429
2021-01-15,Yobe,Rice (local),2.7 KG,920.0
2021-01-15,Yobe,Tomatoes,0.5 KG,87.85714285714286
2021-01-15,Yobe,Yam,2.5 KG,414.09444444444443
2021-02-15,Adamawa,Rice (local),2.7 KG,904.5
2021-02-15,Borno,Beans (red),2.5 KG,724.25
2021-02-15,Borno,Oranges,400 G,112.5
2021-02-15,Borno,Rice (local),2.7 KG,1038.75
2021-02-15,Borno,Tomatoes,0.5 KG,71.28571428571429
2021-02-15,Borno,Yam,2.5 KG,718.1111111111111
2021-02-15,Yobe,Beans (red),2.5 KG,876.6666666666666
2021-02-15,Yobe,Oranges,400 G,80.71428571428571
2021-02-15,Yobe,Rice (local),2.7 KG,952.5277777777778
2021-02-15,Yobe,Tomatoes,0.5 KG,68.88888888888889
2021-02-15,Yobe,Yam,2.5 KG,387.57142857142856
2021-03-15,Borno,Beans (red),2.5 KG,1230.8
2021-03-15,Borno,Oranges,400 G,90.0
2021-03-15,Borno,Rice (local),2.7 KG,1115.0057142857142
2021-03-15,Borno,Tomatoes,0.5 KG,65.0
2021-03-15,Borno,Yam,2.5 KG,570.5714285714286
2021-03-15,Yobe,Beans (red),2.5 KG,1134.0
2021-03-15,Yobe,Oranges,400 G,113.55555555555556
2021-03-15,Yobe,Rice (local),2.7 KG,1057.3633333333335
2021-03-15,Yobe,Tomatoes,0.5 KG,71.9
2021-03-15,Yobe,Yam,2.5 KG,568.5
2021-04-15,Adamawa,Rice (local),2.7 KG,1078.87
2021-04-15,Adamawa,Yam,2.5 KG,2256.87
2021-04-15,Borno,Beans (red),2.5 KG,1343.5
2021-04-15,Borno,Oranges,400 G,92.6
2021-04-15,Borno,Rice (local),2.7 KG,1130.455
2021-04-15,Borno,Tomatoes,0.5 KG,71.6
2021-04-15,Borno,Yam,2.5 KG,711.2116666666667
2021-04-15,Yobe,Rice (local),2.7 KG,810.0
2021-04-15,Yobe,Yam,2.5 KG,646.4
2021-05-15,Adamawa,Rice (local),2.7 KG,1167.77
2021-05-15,Borno,Beans (red),2.5 KG,1360.8
2021-05-15,Borno,Oranges,400 G,99.0
2021-05-15,Borno,Rice (local),2.7 KG,1139.252
2021-05-15,Borno,Tomatoes,0.5 KG,79.8
2021-05-15,Borno,Yam,2.5 KG,612.7142857142857
2021-05-15,Yobe,Beans (red),2.5 KG,1252.0
2021-05-15,Yobe,Oranges,400 G,1472.0
2021-05-15,Yobe,Rice (local),2.7 KG,1076.2442857142858
2021-05-15,Yobe,Tomatoes,0.5 KG,67.75
2021-05-15,Yobe,Yam,2.5 KG,649.665
2021-06-15,Adamawa,Rice (local),2.7 KG,1203.0
2021-06-15,Adamawa,Yam,2.5 KG,3101.77
2021-06-15,Borno,Beans (red),2.5 KG,1497.75
2021-06-15,Borno,Oranges,400 G,100.0
2021-06-15,Borno,Rice (local),2.7 KG,1217.1783333333333
2021-06-15,Borno,Tomatoes,0.5 KG,101.0
2021-06-15,Borno,Yam,2.5 KG,1009.5200000000001
2021-06-15,Yobe,Beans (red),2.5 KG,1373.857142857143
2021-06-15,Yobe,Oranges,400 G,113.0
2021-06-15,Yobe,Rice (local),2.7 KG,1087.1125
2021-06-15,Yobe,Tomatoes,0.5 KG,95.85714285714286
2021-06-15,Yobe,Yam,2.5 KG,728.5916666666667
2021-07-15,Adamawa,Yam,2.5 KG,3127.77
2021-07-15,Borno,Beans (red),2.5 KG,1708.8
2021-07-15,Borno,Oranges,400 G,100.0
2021-07-15,Borno,Rice (local),2.7 KG,1174.76
2021-07-15,Borno,Tomatoes,0.5 KG,106.66666666666667
2021-07-15,Borno,Yam,2.5 KG,683.4
2021-07-15,Yobe,Beans (red),2.5 KG,1492.25
2021-07-15,Yobe,Oranges,400 G,107.85222222222222
2021-07-15,Yobe,Rice (local),2.7 KG,1176.896
2021-07-15,Yobe,Tomatoes,0.5 KG,74.45875
2021-07-15,Yobe,Yam,2.5 KG,639.98625
2021-08-15,Adamawa,Yam,2.5 KG,2464.74
2021-08-15,Borno,Beans (red),2.5 KG,1815.0
2021-08-15,Borno,Oranges,400 G,100.0
2021-08-15,Borno,Rice (local),2.7 KG,1199.0475000000001
2021-08-15,Borno,Tomatoes,0.5 KG,104.5
2021-08-15,Borno,Yam,2.5 KG,1036.3433333333332
2021-08-15,Yobe,Beans (red),2.5 KG,1576.7142857142858
2021-08-15,Yobe,Oranges,400 G,114.625
2021-08-15,Yobe,Rice (local),2.7 KG,1178.63125
2021-08-15,Yobe,Tomatoes,0.5 KG,79.83333333333333
2021-08-15,Yobe,Yam,2.5 KG,604.303
2021-09-15,Adamawa,Yam,2.5 KG,2188.43
2021-09-15,Borno,Beans (red),2.5 KG,1779.0
2021-09-15,Borno,Oranges,400 G,105.625
2021-09-15,Borno,Rice (local),2.7 KG,1243.8
2021-09-15,Borno,Tomatoes,0.5 KG,100.0
2021-09-15,Borno,Yam,2.5 KG,738.675
2021-09-15,Yobe,Beans (red),2.5 KG,1618.875
2021-09-15,Yobe,Oranges,400 G,106.5
2021-09-15,Yobe,Rice (local),2.7 KG,1125.597142857143
2021-09-15,Yobe,Tomatoes,0.5 KG,92.77777777777777
2021-09-15,Yobe,Yam,2.5 KG,560.25
2021-10-15,Adamawa,Rice (local),2.7 KG,865.65
2021-10-15,Adamawa,Yam,2.5 KG,2513.81
2021-10-15,Borno,Beans (red),2.5 KG,1779.0
2021-10-15,Borno,Oranges,400 G,102.66666666666667
2021-10-15,Borno,Rice (local),2.7 KG,1171.7540000000001
2021-10-15,Borno,Tomatoes,0.5 KG,100.0
2021-10-15,Borno,Yam,2.5 KG,1005.9575
2021-10-15,Yobe,Beans (red),2.5 KG,1445.4
2021-10-15,Yobe,Oranges,400 G,86.66666666666667
2021-10-15,Yobe,Rice (local),2.7 KG,1090.47
2021-10-15,Yobe,Tomatoes,0.5 KG,77.33333333333333
2021-10-15,Yobe,Yam,2.5 KG,508.2
2021-11-15,Adamawa,Yam,2.5 KG,2737.0
2021-11-15,Borno,Beans (red),2.5 KG,1586.6666666666667
2021-11-15,Borno,Oranges,400 G,100.0
2021-11-15,Borno,Rice (local),2.7 KG,1334.0
2021-11-15,Borno,Tomatoes,0.5 KG,90.75
2021-11-15,Borno,Yam,2.5 KG,899.5
2021-11-15,Yobe,Beans (red),2.5 KG,1179.7777777777778
2021-11-15,Yobe,Oranges,400 G,94.57142857142857
2021-11-15,Yobe,Rice (local),2.7 KG,1127.3333333333333
2021-11-15,Yobe,Tomatoes,0.5 KG,64.5
2021-11-15,Yobe,Yam,2.5 KG,523.6666666666666
2021-12-15,Adamawa,Yam,2.5 KG,3105.0
2021-12-15,Borno,Beans (red),2.5 KG,1460.5
2021-12-15,Borno,Oranges,400 G,112.5
2021-12-15,Borno,Rice (local),2.7 KG,1126.2
2021-12-15,Borno,Tomatoes,0.5 KG,90.625
2021-12-15,Borno,Yam,2.5 KG,988.75
2021-12-15,Yobe,Beans (red),2.5 KG,1190.1666666666667
2021-12-15,Yobe,Oranges,400 G,100.0
2021-12-15,Yobe,Rice (local),2.7 KG,1134.375
2021-12-15,Yobe,Tomatoes,0.5 KG,100.5625
2021-12-15,Yobe,Yam,2.5 KG,550.0
2022-01-15,Adamawa,Yam,2.5 KG,2582.0
2022-01-15,Borno,Beans (red),2.5 KG,1586.3333333333333
2022-01-15,Borno,Oranges,400 G,125.0
2022-01-15,Borno,Rice (local),2.7 KG,1216.5
2022-01-15,Borno,Tomatoes,0.5 KG,75.0
2022-01-15,Borno,Yam,2.5 KG,974.8333333333334
2022-01-15,Yobe,Beans (red),2.5 KG,1216.4285714285713
2022-01-15,Yobe,Oranges,400 G,108.6
2022-01-15,Yobe,Rice (local),2.7 KG,1126.111111111111
2022-01-15,Yobe,Tomatoes,0.5 KG,107.6
2022-01-15,Yobe,Yam,2.5 KG,520.7777777777778
2022-02-15,Adamawa,Rice (local),2.7 KG,928.0
2022-02-15,Adamawa,Yam,2.5 KG,2582.0
2022-02-15,Borno,Beans (red),2.5 KG,1496.5
2022-02-15,Borno,Oranges,400 G,130.0
2022-02-15,Borno,Rice (local),2.7 KG,1245.3333333333333
2022-02-15,Borno,Tomatoes,0.5 KG,68.75
2022-02-15,Borno,Yam,2.5 KG,937.5
2022-02-15,Yobe,Beans (red),2.5 KG,1293.5555555555557
2022-02-15,Yobe,Oranges,400 G,103.75
2022-02-15,Yobe,Rice (local),2.7 KG,1170.7222222222222
2022-02-15,Yobe,Tomatoes,0.5 KG,83.6
2022-02-15,Yobe,Yam,2.5 KG,717.1428571428571
2022-03-15,Borno,Beans (red),2.5 KG,1618.6666666666667
2022-03-15,Borno,Oranges,400 G,125.0
2022-03-15,Borno,Rice (local),2.7 KG,1234.5257142857142
2022-03-15,Borno,Tomatoes,0.5 KG,75.0
2022-03-15,Borno,Yam,2.5 KG,749.285
2022-03-15,Yobe,Beans (red),2.5 KG,1343.3333333333333
2022-03-15,Yobe,Oranges,400 G,96.16666666666667
2022-03-15,Yobe,Rice (local),2.7 KG,1176.3871428571426
2022-03-15,Yobe,Tomatoes,0.5 KG,104.0
2022-03-15,Yobe,Yam,2.5 KG,591.781111111111
2022-04-15,Adamawa,Rice (local),2.7 KG,1148.4
2022-04-15,Borno,Beans (red),2.5 KG,1490.75
2022-04-15,Borno,Oranges,400 G,60.833333333333336
2022-04-15,Borno,Rice (local),2.7 KG,1421.625
2022-04-15,Borno,Tomatoes,0.5 KG,45.0
2022-04-15,Borno,Yam,2.5 KG,1037.8674999999998
2022-04-15,Yobe,Beans (red),2.5 KG,1298.0
2022-04-15,Yobe,Oranges,400 G,121.0
2022-04-15,Yobe,Rice (local),2.7 KG,1176.2142857142858
2022-04-15,Yobe,Tomatoes,0.5 KG,68.4
2022-04-15,Yobe,Yam,2.5 KG,662.7777777777778
2022-05-15,Borno,Beans (red),2.5 KG,1655.5
